budget,popularity,runtime,vote_average,vote_count,release_month,genres,_logged_at
50000000.0,50.0,120.0,7.0,1000.0,6,"Action,Adventure",2025-12-17T00:02:10.769979
50000000.0,50.0,120.0,7.0,1000.0,6,"Action,Adventure",2025-12-17T00:02:10.897511
50000000.0,50.0,120.0,7.0,1000.0,6,"Action,Adventure",2025-12-17T00:02:11.014680
50000000.0,50.0,120.0,7.0,1000.0,6,,2025-12-17T01:27:07.903852
50000000.0,50.0,120.0,7.0,1000.0,6,,2025-12-17T01:27:08.068703
50000000.0,50.0,120.0,7.0,1000.0,6,,2025-12-17T01:27:08.251072
50000000.0,50.0,120.0,7.0,1000.0,6,,2025-12-17T01:29:47.357482
50000000.0,50.0,120.0,7.0,1000.0,6,,2025-12-17T01:29:47.489236
50000000.0,50.0,120.0,7.0,1000.0,6,,2025-12-17T01:31:25.150842
50000000.0,50.0,120.0,7.0,1000.0,6,,2025-12-17T01:31:25.244456
50000000.0,50.0,120.0,7.0,1000.0,6,,2025-12-17T01:31:25.330056
50000000.0,50.0,120.0,7.0,1000.0,6,,2025-12-17T01:46:47.424725
50000000.0,50.0,120.0,7.0,1000.0,6,,2025-12-17T01:46:47.550937
50000000.0,50.0,120.0,7.0,1000.0,6,,2025-12-17T01:46:47.728919
85000000.0,50.0,120.0,7.0,1000.0,6,,2025-12-17T01:46:57.210574
85000000.0,50.0,120.0,7.0,1000.0,6,,2025-12-17T01:46:57.310702
85000000.0,50.0,120.0,7.0,1000.0,6,,2025-12-17T01:46:57.454613
50000000.0,50.0,120.0,7.0,1000.0,6,,2025-12-17T12:52:44.927698
50000000.0,50.0,120.0,7.0,1000.0,6,,2025-12-17T12:52:45.073575
50000000.0,50.0,120.0,7.0,1000.0,6,,2025-12-17T12:52:45.235739
65000000.0,50.0,120.0,7.0,1000.0,6,,2025-12-17T13:23:29.328971
65000000.0,50.0,120.0,7.0,1000.0,6,,2025-12-17T13:23:29.475989
65000000.0,50.0,120.0,7.0,1000.0,6,,2025-12-17T13:23:29.645199
65000000.0,50.0,120.0,7.0,1000.0,6,,2025-12-17T13:23:55.710603
65000000.0,50.0,120.0,7.0,1000.0,6,,2025-12-17T13:23:55.829943
65000000.0,50.0,120.0,7.0,1000.0,6,,2025-12-17T13:23:55.982712
310000000.0,950.0,125.0,7.5,2100.0,6,,2025-12-17T13:24:47.254530
310000000.0,950.0,125.0,7.5,2100.0,6,,2025-12-17T13:24:47.379032
310000000.0,950.0,125.0,7.5,2100.0,6,,2025-12-17T13:24:47.529958
310000000.0,950.0,125.0,7.5,2100.0,6,,2025-12-17T13:25:12.735778
310000000.0,950.0,125.0,7.5,2100.0,6,,2025-12-17T13:25:12.850195
310000000.0,950.0,125.0,7.5,2100.0,6,,2025-12-17T13:25:12.998308
310000000.0,950.0,125.0,7.5,2100.0,6,,2025-12-17T13:25:23.856207
310000000.0,950.0,125.0,7.5,2100.0,6,,2025-12-17T13:25:23.979766
310000000.0,950.0,125.0,7.5,2100.0,6,,2025-12-17T13:25:24.144858
310000000.0,950.0,125.0,7.5,2100.0,6,,2025-12-17T13:26:12.065169
310000000.0,950.0,125.0,7.5,2100.0,6,,2025-12-17T13:26:12.162368
310000000.0,950.0,125.0,7.5,2100.0,6,,2025-12-17T13:26:12.328442
49000000.0,50.0,120.0,7.0,1000.0,6,,2025-12-17T13:54:48.991188
49000000.0,50.0,120.0,7.0,1000.0,6,,2025-12-17T13:54:49.116846
49000000.0,50.0,120.0,7.0,1000.0,6,,2025-12-17T13:54:49.266030
49000000.0,50.0,120.0,8.6,1000.0,6,,2025-12-17T13:55:19.852188
49000000.0,50.0,120.0,8.6,1000.0,6,,2025-12-17T13:55:19.957882
49000000.0,50.0,120.0,8.6,1000.0,6,,2025-12-17T13:55:20.128261
49000000.0,50.0,120.0,7.0,1000.0,6,,2025-12-17T14:28:39.460801
49000000.0,50.0,120.0,7.0,1000.0,6,,2025-12-17T14:28:39.565946
49000000.0,50.0,120.0,7.0,1000.0,6,,2025-12-17T14:28:39.701692
49000000.0,50.0,120.0,7.0,1000.0,6,,2025-12-17T15:06:07.635651
49000000.0,50.0,120.0,7.0,1000.0,6,,2025-12-17T15:06:07.772519
49000000.0,50.0,120.0,7.0,1000.0,6,,2025-12-17T15:06:07.867802
80000000.0,50.0,120.0,7.0,1000.0,6,,2025-12-17T15:07:14.873479
80000000.0,50.0,120.0,7.0,1000.0,6,,2025-12-17T15:07:14.955338
80000000.0,50.0,120.0,7.0,1000.0,6,,2025-12-17T15:07:15.071568
49000000.0,50.0,120.0,7.0,1000.0,6,,2025-12-17T15:17:28.915606
49000000.0,50.0,120.0,7.0,1000.0,6,,2025-12-17T15:17:29.005657
49000000.0,50.0,120.0,7.0,1000.0,6,,2025-12-17T15:17:29.107183
49000000.0,50.0,120.0,7.0,1000.0,6,,2025-12-17T15:17:56.763325
49000000.0,50.0,120.0,7.0,1000.0,6,,2025-12-17T15:17:56.853531
49000000.0,50.0,120.0,7.0,1000.0,6,,2025-12-17T15:17:56.986806
49000000.0,50.0,120.0,7.0,1000.0,6,,2025-12-17T15:22:49.215689
