id,title,budget,revenue,runtime,popularity,vote_average,vote_count,original_language,release_date,release_year,release_month,genres
27205,Inception,160000000,825532764,148,83.952,8.364,34495,en,2010-07-15,2010,7,"Action, Science Fiction, Adventure"
157336,Interstellar,165000000,701729206,169,140.241,8.417,32571,en,2014-11-05,2014,11,"Adventure, Drama, Science Fiction"
155,The Dark Knight,185000000,1004558444,152,130.643,8.512,30619,en,2008-07-16,2008,7,"Drama, Action, Crime, Thriller"
19995,Avatar,237000000,2923706026,162,79.932,7.573,29815,en,2009-12-15,2009,12,"Action, Adventure, Fantasy, Science Fiction"
24428,The Avengers,220000000,1518815515,143,98.082,7.71,29166,en,2012-04-25,2012,4,"Science Fiction, Action, Adventure"
293660,Deadpool,58000000,783100000,108,72.735,7.606,28894,en,2016-02-09,2016,2,"Action, Adventure, Comedy"
299536,Avengers: Infinity War,300000000,2052415039,149,154.34,8.255,27713,en,2018-04-25,2018,4,"Adventure, Action, Science Fiction"
550,Fight Club,63000000,100853753,139,69.498,8.438,27238,en,1999-10-15,1999,10,Drama
118340,Guardians of the Galaxy,170000000,772776600,121,33.255,7.906,26638,en,2014-07-30,2014,7,"Action, Science Fiction, Adventure"
680,Pulp Fiction,8500000,213900000,154,74.862,8.488,25893,en,1994-09-10,1994,9,"Thriller, Crime"
13,Forrest Gump,55000000,677387716,142,92.693,8.477,25409,en,1994-06-23,1994,6,"Comedy, Drama, Romance"
671,Harry Potter and the Philosopher's Stone,125000000,976475550,152,185.482,7.916,25379,en,2001-11-16,2001,11,"Adventure, Fantasy"
1726,Iron Man,140000000,585174222,126,72.897,7.64,24874,en,2008-04-30,2008,4,"Action, Science Fiction, Adventure"
68718,Django Unchained,100000000,425368238,165,54.224,8.171,24672,en,2012-12-25,2012,12,"Drama, Western"
278,The Shawshank Redemption,25000000,28341469,142,122.61,8.702,24649,en,1994-09-23,1994,9,"Drama, Crime"
299534,Avengers: Endgame,356000000,2800000000,181,91.756,8.263,23857,en,2019-04-24,2019,4,"Adventure, Science Fiction, Action"
603,The Matrix,63000000,463517383,136,78.564,8.206,23815,en,1999-03-30,1999,3,"Action, Science Fiction"
597,Titanic,200000000,2264162353,194,102.348,7.9,23637,en,1997-11-18,1997,11,"Drama, Romance"
475557,Joker,55000000,1074458282,122,54.522,8.168,23425,en,2019-10-01,2019,10,"Crime, Thriller, Drama"
120,The Lord of the Rings: The Fellowship of the Ring,93000000,871368364,179,87.037,8.402,23323,en,2001-12-18,2001,12,"Adventure, Fantasy, Action"
122,The Lord of the Rings: The Return of the King,94000000,1118888979,201,99.276,8.474,22334,en,2003-12-01,2003,12,"Adventure, Fantasy, Action"
11324,Shutter Island,80000000,294800000,138,56.595,8.2,22318,en,2010-02-14,2010,2,"Drama, Thriller, Mystery"
106646,The Wolf of Wall Street,100000000,392000000,180,97.444,8.035,22222,en,2013-12-25,2013,12,"Crime, Drama, Comedy"
99861,Avengers: Age of Ultron,365000000,1405403694,141,96.565,7.276,21754,en,2015-04-22,2015,4,"Action, Adventure, Science Fiction"
271110,Captain America: Civil War,250000000,1155046416,147,70.741,7.4,21541,en,2016-04-27,2016,4,"Adventure, Action, Science Fiction"
49026,The Dark Knight Rises,250000000,1081041287,165,76.914,7.777,21335,en,2012-07-17,2012,7,"Action, Crime, Drama, Thriller"
68721,Iron Man 3,200000000,1215577205,130,61.06,6.928,21064,en,2013-04-18,2013,4,"Action, Adventure, Science Fiction"
284054,Black Panther,200000000,1349926083,135,43.665,7.39,21053,en,2018-02-13,2018,2,"Action, Adventure, Science Fiction"
284052,Doctor Strange,180000000,676343174,115,70.535,7.427,20935,en,2016-10-25,2016,10,"Action, Adventure, Fantasy"
76341,Mad Max: Fury Road,150000000,378858340,121,78.319,7.582,20911,en,2015-05-13,2015,5,"Action, Adventure, Science Fiction"
16869,Inglourious Basterds,70000000,321457747,153,59.162,8.215,20746,en,2009-08-19,2009,8,"Drama, Thriller, War"
70160,The Hunger Games,75000000,694394724,142,29.577,7.193,20636,en,2012-03-12,2012,3,"Science Fiction, Adventure, Fantasy"
315635,Spider-Man: Homecoming,175000000,880166924,133,65.88,7.345,20507,en,2017-07-05,2017,7,"Action, Adventure, Science Fiction, Drama"
672,Harry Potter and the Chamber of Secrets,100000000,876688482,161,121.699,7.721,20390,en,2002-11-13,2002,11,"Adventure, Fantasy"
283995,Guardians of the Galaxy Vol. 2,200000000,863756051,137,67.553,7.624,20353,en,2017-04-19,2017,4,"Science Fiction, Adventure, Action"
121,The Lord of the Rings: The Two Towers,79000000,926287400,179,78.73,8.385,20274,en,2002-12-18,2002,12,"Adventure, Fantasy, Action"
1771,Captain America: The First Avenger,140000000,370569774,124,43.665,6.995,20269,en,2011-07-22,2011,7,"Action, Adventure, Science Fiction"
297761,Suicide Squad,175000000,746846894,123,35.356,5.909,20097,en,2016-08-03,2016,8,"Action, Adventure, Fantasy"
673,Harry Potter and the Prisoner of Azkaban,130000000,789804554,141,124.386,8.02,20038,en,2004-05-31,2004,5,"Adventure, Fantasy"
10195,Thor,150000000,449326618,115,51.277,6.768,20023,en,2011-04-21,2011,4,"Adventure, Fantasy, Action"
10138,Iron Man 2,200000000,623933331,124,84.445,6.835,19756,en,2010-04-28,2010,4,"Adventure, Action, Science Fiction"
272,Batman Begins,150000000,374218673,140,66.286,7.701,19561,en,2005-06-10,2005,6,"Action, Crime, Drama"
284053,Thor: Ragnarok,180000000,855301806,131,45.2,7.595,19539,en,2017-10-02,2017,10,"Action, Adventure, Science Fiction"
150540,Inside Out,175000000,857611174,95,107.292,7.922,19463,en,2015-06-09,2015,6,"Animation, Family, Adventure, Drama, Comedy"
135397,Jurassic World,150000000,1671537444,124,54.089,6.682,19414,en,2015-06-06,2015,6,"Action, Adventure, Science Fiction, Thriller"
807,Se7en,33000000,327311859,127,53.521,8.368,19403,en,1995-09-22,1995,9,"Crime, Mystery, Thriller"
674,Harry Potter and the Goblet of Fire,150000000,895921036,157,134.276,7.816,19287,en,2005-11-16,2005,11,"Adventure, Fantasy"
